Epidemic	Non-Predict	Predict	Node Density
			
1.0000	100	200	3.539
1.0000	69.35437491	107.2733981	17.693
1.0000	40	60	35.386
1.0000	7.691654995	18.81796048	70.771
1.0000	5.059001385	11.75187938	106.157
1.0000	3.059476935	6.044469012	141.543
1.0000	3.180930463	6.698930818	176.929
1.0000	2.697754745	5.457150413	212.314
1.0000	2.697089218	5.432978733	247.7
1.0000	2.742317102	5.601669837	283.086
1.0000	2.690627769	5.280107487	318.471
1.0000	2.665960692	5.184001663	353.857
