Nps	"DeliveryRatio
[100]"	"DeliveryRatio
[200]"	"DeliveryRatio
[300]"	Ec[100]	Ec[200]	Ec[300]
0	0.8622	0.8852	0.9052	787.77	1,071.10	1,346.79
0.1	0.8524	0.8724	0.8997	601.37	905.31	1,346.11
0.2	0.84772	0.8669	0.8942	502.38	849.75	1,345.21
0.3	0.8324	0.8569	0.8642	497.02	824.47	1,344.27
0.4	0.706	0.8242	0.8214	476.66	811.43	1,342.35
0.5	0.6484	0.8077	0.8214	462.55	799.17	1,340.80
0.6	0.4511	0.5549	0.5742	450.55	770.61	1,270.30
0.7	0.3852	0.4725	0.5302	448.36	615.03	1,181.16
0.8	0.2852	0.4588	0.5275	394.56	450.05	906.24
0.9	0.1852	0.4588	0.5275	147.30	230.27	356.46
1	0.0852	0.4588	0.5275	9.94	65.43	81.69
